	module	kME	kIN	cluster_name	HOMA.ir_estimate	HOMA.ir_p.value	HOMA.ir_p.adjust	HOMA.ir_BMI.adj.partial_estimate	HOMA.ir_BMI.adj.partial_p.value	HOMA.ir_BMI.adj.partial_p.adjust
L_1206_unknown	lightcyan1	0.776406117977333	0.224358867211487	L27	0.00296865165995649	0.95992438692283	0.975514806199999	0.0684296392947628	0.247028752344382	0.378979311827808
L_521_unknown	lightcyan1	0.771409617572718	0.221505665191903	L27	0.077958260126678	0.186315094549667	0.270257415382859	0.0893393299189101	0.130388627667049	0.228801328099074
L_1434_unknown	lightcyan1	0.765042502070207	0.21062137316686	L27	-0.0194145092597054	0.742422329240225	0.816908420411392	0.0191412362093019	0.746351076523924	0.833638076554552
L_1323_unknown	lightcyan1	0.745312767772687	0.188230503941392	L27	0.10765945208845	0.0676105053670419	0.110704304115007	0.0993970392206818	0.0922474839516946	0.174533036591111
L_1190_unknown	lightcyan1	0.734068616908259	0.183613676207378	L27	0.0265609131844821	0.652957087437197	0.743810674375793	0.0566625790460357	0.337970013417043	0.479064290862993
L_2079_unknown	lightyellow	0.95398692806841	4.62936275870863	L28	-0.0268683495859656	0.649206710906047	0.74050140462721	-0.0218779712529434	0.711597797947709	0.808430745003987
L_872_unknown	lightyellow	0.939131275769282	4.39440630829367	L28	-0.0291121875938808	0.622106708889395	0.721808578790874	-0.0576974605451277	0.32920665693005	0.470448664715699
L_901_unknown	lightyellow	0.939881129573497	4.38699099084179	L28	-0.0214606029802585	0.71638754471282	0.797402146338539	-0.0391710573293786	0.507895564914603	0.646680980908709
L_846_unknown	lightyellow	0.95143418429899	4.36638351081704	L28	-0.00641114340472379	0.913584640742489	0.940423202456428	-0.0177573886288333	0.764126839128483	0.84483351582725
L_855_unknown	lightyellow	0.934583539593132	4.33116781721078	L28	-0.0567364427009698	0.336494945018496	0.437993420261816	-0.0612518780875375	0.300234253498201	0.441978607339635
L_3080_unknown	lightyellow	0.934816861506682	4.28363786188039	L28	-0.0239979482323085	0.684554835110049	0.772770664376807	-0.0334927974841636	0.571340383320239	0.703929923753206
L_2030_unknown	lightyellow	0.932645595545222	4.27850048711008	L28	-0.0470206067152505	0.425842238829414	0.530661415008235	-0.0594202812330526	0.314945815937311	0.453770616383362
L_1038_unknown	lightyellow	0.943296994816088	4.1222859280151	L28	-0.03515868555801	0.551648717050354	0.658370948414319	-0.0186716386227643	0.752368634217033	0.837452253588464
L_854_unknown	lightyellow	0.939637544456365	3.66000844655155	L28	-0.0149119091467157	0.800718112611291	0.859594444420945	-0.0376498910409495	0.524524351204207	0.66303511061311
L_916_unknown	lightyellow	0.885135544598622	2.4414176309526	L28	-0.0368373977534894	0.532802640261179	0.639363168313415	-0.0796565186201885	0.177632660762701	0.294708732629026
L_803_unknown	lightyellow	0.693799938918987	1.22887376689666	L28	-0.000670589432362186	0.990943713900708	0.995404010352073	-0.0285931752564428	0.628931875733093	0.752656179155997
L_850_unknown	lightyellow	0.664471951952189	1.11644060113228	L28	0.0220108046955349	0.709440846124838	0.791681759497271	-0.0400314039730809	0.49861392466836	0.637786747015557
L_890_unknown	lightyellow	0.667401003324034	0.507333908410385	L28	-0.0190943873756363	0.746523140245586	0.819491567487636	0.00177429603866655	0.976083103577949	0.985079261214612
L_228_unknown	green	0.889076474327246	4.6061661768122	L29	-0.0536130779004609	0.363811854274573	0.466616668147182	0.0162547143121272	0.783569683792545	0.857016690687628
L_2708_unknown	green	0.914142721844514	4.49529894835351	L29	-0.0992653936411474	0.092111990413638	0.145674620489086	-0.0134631380336502	0.820039867313659	0.88576439428701
L_30_PC.36.5.	green	0.854921716693353	4.42583743184408	L29	0.0308796981674586	0.601110328096409	0.703034242206214	0.0863226873987764	0.143932423314802	0.248687974011375
L_1687_unknown	green	0.903758972602874	4.40419420687975	L29	-0.124573180134146	0.0342752707237812	0.0602914400683381	-0.0223791307851597	0.70529529718131	0.806577911659043
L_793_PE.38.6e.	green	0.887049921586811	4.13253456238596	L29	-0.0542162601606532	0.358431678417188	0.461066299990392	0.0563058066528804	0.341025390078998	0.481147528337005
L_1738_unknown	green	0.863036736818621	4.05556578505949	L29	-0.0204743688929751	0.728897755691489	0.807224316037604	0.0319300079659752	0.589437564116984	0.723175498832603
L_1935_unknown	green	0.832880896251083	4.02808807538301	L29	0.0400423476184696	0.497745229902582	0.60727691002042	0.0934266772977041	0.113633566554383	0.20609317660795
L_1258_unknown	green	0.875978675611628	3.68227225955117	L29	-0.0825252825924058	0.161741791125414	0.242357572774604	0.0128004564081962	0.828757743951387	0.889695813359577
L_1465_unknown	green	0.857312028745443	3.64552865001419	L29	-0.0821019357029843	0.163911772233997	0.244194294793879	0.00028928258410218	0.9961000052824	0.997238405288437
L_205_ChoE.20.5.	green	0.845038039601835	3.59938265551204	L29	-0.00819059325602909	0.88973545558884	0.919113513084698	0.0299562302725831	0.612662331327996	0.742312866173339
